,detail_url,search_date,title,address,floor_info,price,layout,building_area,building_use,latitude,longitude
224,https://rent.591.com.tw/rent-detail-3443217.html,2017-05-11,捷運共構永春2號(含一停車位）採光佳,台北市信義區忠孝東路五段,17F/18F,"50,000元/月",,33.41,電梯大樓/辦公,25.040825,121.57509099999999
226,https://rent.591.com.tw/rent-detail-3367595.html,2017-05-08,交通便利環境優良套房(C),台北市士林區至誠路二段,2F/4F,"9,000元/月",,6.0,公寓/分租套房,25.102253,121.5295105
233,https://rent.591.com.tw/rent-detail-3008745.html,2017-05-13,大空間，設備齊全，即可入住，限女性。,台北市中正區同安街,2F/4F,"8,800元/月",,8.0,公寓/雅房,25.0237861,121.5213228
234,https://rent.591.com.tw/rent-detail-3370674.html,2017-05-13,近後山埤站優質套房,台北市信義區福德街,2F/4F,"8,500元/月",,6.5,公寓/分租套房,25.0383663,121.5842285
242,https://rent.591.com.tw/rent-detail-3373672.html,2017-05-08,新生捷運旁，公園旁，麥當勞，24小時商,台北市中正區濟南路二段,4F/4F,"8,000元/月",,6.0,公寓/雅房,25.0405129,121.529849
245,https://rent.591.com.tw/rent-detail-3346558.html,2017-05-13,市府捷運金店面,台北市信義區基隆路一段,1F/13F,"200,000元/月",,45.9,電梯大樓/店面,25.0420418,121.56509399999999
258,https://rent.591.com.tw/rent-detail-3392150.html,2017-05-12,師大blog精緻套房出租,台北市大安區師大路,5F/9F,"26,000元/月",,14.0,電梯大樓/獨立套房,25.0236675,121.5279937
259,https://rent.591.com.tw/rent-detail-3300853.html,2017-05-11,芝山捷運旁SOGO金商圈可登記公司有車位,台北市士林區中山北路六段,3F/12F,"24,999元/月",,16.0,電梯大樓/辦公,25.105581,121.5257928
261,https://rent.591.com.tw/rent-detail-3354274.html,2017-05-14,士林夜市雅房出租，近銘傳-捷運-,台北市士林區大南路,3F/4F,"5,000元/月",,3.0,公寓/雅房,25.0896549,121.52366640000001
273,https://rent.591.com.tw/rent-detail-3187276.html,2017-05-12,"位忠孝復興站旁近SOGO商圈,微風廣場",台北市松山區八德路二段,2F/3F,"7,000元/月",,6.0,公寓/雅房,25.047460600000004,121.5459061
296,https://rent.591.com.tw/rent-detail-3966781.html,2017-05-15,☆行天宮捷運三分☆新兩房兩衛必租☆公司可,台北市中山區民權東路二段,9F/12F,"36,000元/月",2房1廳2衛1陽臺,20.0,電梯大樓/住辦,25.0621891,121.5344696
299,https://rent.591.com.tw/rent-detail-3431679.html,2017-05-12,交通方便，近國父紀念館捷運站,台北市大安區忠孝東路四段,11F/12F,"73,000元/月",,48.87,電梯大樓/辦公,25.0416889,121.5454972
307,https://rent.591.com.tw/rent-detail-3453931.html,2017-05-13,全新裝潢2-4人微型商辦101窗景,台北市大安區復興南路一段,11F/15F,"10,000元/月",,4.0,電梯大樓/辦公,25.0340794,121.54240490000001
308,https://rent.591.com.tw/rent-detail-3555918.html,2017-05-13,NTNU小資輕豪宅鄰近古亭MRT,台北市中正區南昌路二段,4F/14F,"24,500元/月",,11.0,電梯大樓/獨立套房,25.0258328,121.52381580000001
315,https://rent.591.com.tw/rent-detail-3454479.html,2017-05-13,機械式車位出租,台北市松山區八德路四段,,"3,500元/月",,5.0,,25.049821899999998,121.5704956
324,https://rent.591.com.tw/rent-detail-3693808.html,2017-05-11,頂樓庭院小屋,台北市松山區新東街,5F/5F,"16,500元/月",,16.0,公寓/獨立套房,25.060484,121.5655872
325,https://rent.591.com.tw/rent-detail-3590465.html,2017-05-09,適合公司行號或倉儲等,台北市大同區民族西路,1F/4F,"45,000元/月",,45.0,公寓/店面,25.068223,121.51478700000001
327,https://rent.591.com.tw/rent-detail-3626456.html,2017-05-12,東區茶街金鑽A級店面,台北市大安區忠孝東路四段,1F/7F,"300,000元/月",,30.0,電梯大樓/店面,25.0429238,121.55200579999999
329,https://rent.591.com.tw/rent-detail-3386107.html,2017-05-12,優質靜巷小資宅~全新裝潢,台北市內湖區內湖路一段,5F/5F,"11,000元/月",,7.0,公寓/分租套房,25.0788448,121.593299
330,https://rent.591.com.tw/rent-detail-3548827.html,2017-05-13,近台北市~三重溫馨套房出租~交通便利,新北市三重區三和路一段,2F/2F,"9,000元/月",,8.0,公寓/獨立套房,25.06455,121.503638
337,https://rent.591.com.tw/rent-detail-3389478.html,2017-05-13,~工作室~可設立公司~商業用途~,台北市中正區南昌路二段,4F/12F,"48,000元/月",,48.18,電梯大樓/辦公,25.0239372,121.52442169999999
338,https://rent.591.com.tw/rent-detail-3560979.html,2017-05-09,忠誠路雅緻套房(近捷運.Sogo百貨),台北市士林區忠誠路一段,6F/6F,"8,000元/月",,5.0,公寓/分租套房,25.10485,121.52851899999999
340,https://rent.591.com.tw/rent-detail-3709247.html,2017-05-13,新穎雅緻裝潢優美學區套房,台北市萬華區貴陽街二段,3F/5F,"10,000元/月",,9.0,公寓/分租套房,25.039995,121.49943200000001
349,https://rent.591.com.tw/rent-detail-3660959.html,2017-05-14,捷運中山國中10分鐘(房廳浴各1)附家具,台北市中山區龍江路,5F/5F,"15,000元/月",,12.0,,25.065133,121.54222299999999
350,https://rent.591.com.tw/rent-detail-3290829.html,2017-05-12,"限單身女性,優質全新雅房近古亭捷運",台北市中正區廈門街,1F/5F,"6,000元/月",,4.0,電梯大樓/雅房,25.023969,121.517742
352,https://rent.591.com.tw/rent-detail-4047702.html,2017-05-14,近西門捷運全新裝潢及家具生活機能優質雅房,台北市萬華區康定路,3F/5F,"8,000元/月",,8.9,透天厝/雅房,25.03977,121.501502
353,https://rent.591.com.tw/rent-detail-3430669.html,2017-05-13,芝山站新裝璜商務型辦公月租19800元起,台北市士林區福國路,2F/11F,"19,800元/月",,18.0,電梯大樓/辦公,25.102698800000002,121.52518880000001
357,https://rent.591.com.tw/rent-detail-3698310.html,2017-05-14,師大台大商圈單人套房,台北市中正區羅斯福路三段,4F/5F,"9,800元/月",,4.0,公寓/分租套房,25.0224426,121.5252686
361,https://rent.591.com.tw/rent-detail-3431533.html,2017-05-13,限時下殺-打造創意夢想辦公室,台北市中山區南京東路一段,4F/6F,"21,000元/月",,12.0,電梯大樓/辦公,25.05201,121.523106
363,https://rent.591.com.tw/rent-detail-3619143.html,2017-05-13,西門捷運獨立溫馨套房~徵勤勞環保有禮貌者,台北市萬華區西寧南路,5F/5F,"7,800元/月",,7.5,公寓/獨立套房,25.0413322,121.506073
366,https://rent.591.com.tw/rent-detail-3352353.html,2017-05-11,近捷運站交通便利,台北市大同區延平北路三段,5F/5F,"8,500元/月",,10.0,公寓/分租套房,25.065555,121.51089099999999
370,https://rent.591.com.tw/rent-detail-3647991.html,2017-05-09,舒適溫馨生活機能佳小套房,台北市大安區信義路四段,7F/13F,"18,000元/月",,5.7,電梯大樓/獨立套房,25.034147100000002,121.55537369999999
374,https://rent.591.com.tw/rent-detail-3367957.html,2017-05-14,長春路溫馨套房乙間，鄰近吉林國小，捷運站,台北市中山區長春路,4F/4F,"7,500元/月",,6.0,公寓/分租套房,25.054997,121.528148
377,https://rent.591.com.tw/rent-detail-3457847.html,2017-05-08,1樓(免費網路+第四台)~近文德捷運站,台北市內湖區陽光街,1F/5F,"9,000元/月",,6.0,電梯大樓/分租套房,25.0747767,121.58503529999999
387,https://rent.591.com.tw/rent-detail-3676240.html,2017-05-12,西華飯店對面,台北市松山區民生東路三段,8F/13F,"13,500元/月",,6.5,電梯大樓/分租套房,25.057650100000004,121.5443659
394,https://rent.591.com.tw/rent-detail-3767463.html,2017-05-13,行天宮附近寧靜巷弄內二套房一雅房,台北市中山區吉林路,2F/5F,"8,000元/月",,5.0,公寓/分租套房,25.0656451,121.5312205
396,https://rent.591.com.tw/rent-detail-3802265.html,2017-05-13,6坪合江街小套房出租,台北市中山區合江街,1F/4F,"8,300元/月",,6.0,公寓/獨立套房,25.060804,121.540062
399,https://rent.591.com.tw/rent-detail-3780781.html,2017-05-08,"師大公館優質套房,捷運台電旁~家具齊",台北市大安區雲和街,2F/5F,"12,000元/月",,8.0,公寓/獨立套房,25.023595,121.52902399999999
405,https://rent.591.com.tw/rent-detail-3770476.html,2017-05-14,中華路獨立套房保有個人隱私,台北市中正區中華路二段,4F/5F,"11,000元/月",,6.0,公寓/獨立套房,25.037363199999998,121.50784420000001
406,https://rent.591.com.tw/rent-detail-3511818.html,2017-05-13,獨立套房環境優-近善導寺忠孝新生捷運站,台北市中正區杭州南路一段,5F/5F,"9,500元/月",,7.0,公寓/獨立套房,25.03925,121.527224
407,https://rent.591.com.tw/rent-detail-3788120.html,2017-05-12,超值雅房～乾淨清爽~近捷運,台北市中山區松江路,5F/5F,"8,500元/月",,6.0,公寓/雅房,25.052637,121.53121399999999
411,https://rent.591.com.tw/rent-detail-3745429.html,2017-05-08,台北環亞、小巨蛋套房,台北市松山區八德路二段,2F/7F,"15,500元/月",,12.0,電梯大樓/分租套房,25.0493108,121.54739679999999
414,https://rent.591.com.tw/rent-detail-3541109.html,2017-05-14,"師大分部附近,全新雅房",台北市文山區汀州路四段,3F/5F,"7,500元/月",,5.0,公寓/雅房,25.006556,121.53728490000002
423,https://rent.591.com.tw/rent-detail-3848961.html,2017-05-12,【信義商圈】永春象山捷運-商業辦公室,台北市信義區松德路,B1/21F,"21,000元/月",,20.0,電梯大樓/辦公,25.0386438,121.5759328
425,https://rent.591.com.tw/rent-detail-3648053.html,2017-05-13,後山埤捷運站小陽台套房交通便捷生活機能強,台北市信義區忠孝東路六段,4F/4F,"9,500元/月",,5.0,公寓/獨立套房,25.0460644,121.5839338
428,https://rent.591.com.tw/rent-detail-3908110.html,2017-05-12,台塑大樓對外窗2樓含一般水電網瓦衛浴方便,台北市松山區民生東路四段,2F/5F,"6,900元/月",,5.0,公寓/雅房,25.057867,121.55306100000001
432,https://rent.591.com.tw/rent-detail-4220727.html,2017-05-13,世新台大政大套房適合學生無不良嗜好租限男,台北市文山區景華街,5F/5F,"7,300元/月",,4.0,公寓/分租套房,24.996632899999998,121.54721799999999
435,https://rent.591.com.tw/rent-detail-3775839.html,2017-05-09,全新社區~景觀溫馨小3房只要28500元,台北市文山區指南路三段,9F/11F,"28,500元/月",3房2廳2衛1陽臺,33.0,電梯大樓/整層住家,24.9829655,121.5803933
438,https://rent.591.com.tw/rent-detail-3581826.html,2017-05-14,近師大安心居住大套房,台北市大安區潮州街,2F/9F,"17,000元/月",,11.0,電梯大樓/獨立套房,25.029087,121.52459099999999
439,https://rent.591.com.tw/rent-detail-3877427.html,2017-05-12,小巨蛋11樓全新裝潢套房,台北市松山區南京東路四段,11F/12F,"12,000元/月",,9.0,電梯大樓/分租套房,25.052766300000002,121.55546899999999
453,https://rent.591.com.tw/rent-detail-3926109.html,2017-05-12,簽二年月租6800樓下捷運站走一分鐘,台北市中山區松江路,3F/6F,"7,800元/月",,5.0,電梯大樓/分租套房,25.059627,121.53279599999999
456,https://rent.591.com.tw/rent-detail-424743.html,2017-05-14,師大獨立套房，近捷運夜市,台北市大安區師大路,4F/4F,"12,000元/月",,9.0,公寓/獨立套房,25.021628,121.527891
463,https://rent.591.com.tw/rent-detail-3919635.html,2017-05-14,精緻獨立套房,台北市文山區木柵路一段,3F/4F,"7,000元/月",,6.0,公寓/獨立套房,24.987828,121.55356100000002
485,https://rent.591.com.tw/rent-detail-3982673.html,2017-05-14,30坪辦公室出租,台北市中山區建國北路二段,5F/10F,"30,000元/月",,30.0,公寓/辦公,25.0594877,121.53741869999999
489,https://rent.591.com.tw/rent-detail-3749392.html,2017-05-13,近內湖科學園區雅房招租,台北市內湖區民權東路六段,頂樓加蓋/5F,"5,800元/月",,5.0,公寓/雅房,25.0682751,121.5852257
491,https://rent.591.com.tw/rent-detail-3853750.html,2017-05-14,信義區近鄰永春捷運站，生活機能超級方便,台北市信義區虎林街,4F/4F,"12,000元/月",,9.0,透天厝/獨立套房,25.043065,121.577032
494,https://rent.591.com.tw/rent-detail-3619497.html,2017-05-14,大馬路邊黃金店面，住辦商皆宜！,台北市松山區八德路四段,1F/5F,"48,000元/月",,32.0,公寓/店面,25.049226,121.566666
506,https://rent.591.com.tw/rent-detail-4014443.html,2017-05-12,"近劍潭捷運站,使用空間大",台北市士林區承德路四段,11F/11F,"45,000元/月",,53.0,電梯大樓/辦公,25.086728,121.522573
516,https://rent.591.com.tw/rent-detail-4035027.html,2017-05-10,近AIT~店面出租,台北市內湖區金湖路,1F/12F,"36,000元/月",,21.0,電梯大樓/店面,25.07526660000001,121.60411359999999
517,https://rent.591.com.tw/rent-detail-4013705.html,2017-05-09,*寶清街(南京東路5段)樓中樓2房可炊,台北市松山區寶清街,2F/5F,"18,000元/月",,12.0,電梯大樓/獨立套房,25.050127300000003,121.56878470000001
518,https://rent.591.com.tw/rent-detail-3664577.html,2017-05-12,永安街＊精美裝修＊三房一廳溫馨空間,台北市文山區永安街,4F/4F,"22,000元/月",3房1廳1衛2陽臺,26.0,公寓/整層住家,24.986479,121.569395
524,https://rent.591.com.tw/rent-detail-4037453.html,2017-05-09,稀有空出附廚房雙人套房!北歐小豪宅捷,台北市文山區溪口街,3F/4F,"11,500元/月",,7.0,公寓/獨立套房,24.99466180000001,121.5383898
527,https://rent.591.com.tw/rent-detail-4009020.html,2017-05-14,"挑高5.8米.三面透光視野,環境優!",台北市內湖區舊宗路,1F/12F,"1,867,030元/月",,436.61,電梯大樓/店面,25.0731053,121.57354270000002
528,https://rent.591.com.tw/rent-detail-4401782.html,2017-05-10,新北投黃金優質店面,台北市北投區光明路,整棟/4F,"350,000元/月",,82.0,公寓/店面,25.1352687,121.5031554
529,https://rent.591.com.tw/rent-detail-3798209.html,2017-05-08,龍山寺捷運共構宅2房出租,台北市萬華區和平西路三段,9F/15F,"28,000元/月",2房1廳1衛2陽臺,15.0,電梯大樓/整層住家,25.0354108,121.50167579999999
531,https://rent.591.com.tw/rent-detail-3909011.html,2017-05-14,圓山捷運站附近,台北市大同區庫倫街,3F/10F,"10,000元/月",,4.0,電梯大樓/獨立套房,25.0721112,121.51838059999999
535,https://rent.591.com.tw/rent-detail-4010801.html,2017-05-14,獨立門戶/樓中樓,台北市大安區信義路四段,10F/13F,"16,000元/月",,6.0,電梯大樓/獨立套房,25.0341568,121.55460120000001
551,https://rent.591.com.tw/rent-detail-4034267.html,2017-05-12,古亭捷運附近溫馨套房出租,台北市中正區重慶南路三段,1F/5F,"8,500元/月",,5.0,公寓/分租套房,25.029363600000003,121.51515959999999
555,https://rent.591.com.tw/rent-detail-3947503.html,2017-05-13,市府捷運4米2~V1精品屋,台北市信義區基隆路一段,3F/13F,"26,500元/月",,14.0,電梯大樓/獨立套房,25.0440788,121.56656650000001
569,https://rent.591.com.tw/rent-detail-3896921.html,2017-05-09,北部精緻套房,台北市中山區中山北路一段,6F/14F,"20,000元/月",,12.11,電梯大樓/獨立套房,25.04921400000001,121.521068
570,https://rent.591.com.tw/rent-detail-4148473.html,2017-05-14,捷運石牌站附近，4房2衛,台北市北投區致遠一路一段,頂樓加蓋/4F,"16,000元/月",4房0廳2衛1陽臺,27.0,透天厝/整層住家,25.109839,121.515225
581,https://rent.591.com.tw/rent-detail-4060267.html,2017-05-10,全新豪宅24小時保全坡平面車位,台北市中山區朱崙街,,"6,000元/月",,10.0,,25.0492193,121.54214240000002
585,https://rent.591.com.tw/rent-detail-3923912.html,2017-05-09,榮星花園/台北大學靜巷套房,台北市中山區合江街,頂樓加蓋/5F,"9,800元/月",,6.0,公寓/獨立套房,25.0608044,121.5399551
586,https://rent.591.com.tw/rent-detail-4158872.html,2017-05-12,"新裝潢,大陽台,近圓山捷運,市埸,公園",台北市大同區重慶北路三段,3F/4F,"20,000元/月",2房1廳1衛1陽臺,18.0,公寓/整層住家,25.07123,121.51284
595,https://rent.591.com.tw/rent-detail-4014536.html,2017-05-13,敦北財經大樓-喬誠張啓烽,台北市松山區敦化北路,3F/11F,"352,112元/月",,207.21,電梯大樓/辦公,25.057261399999998,121.5499034
598,https://rent.591.com.tw/rent-detail-3856638.html,2017-05-14,全新獨立套房龍山寺板南線捷運站華江橋,台北市萬華區和平西路三段,5F/8F,"12,500元/月",,10.23,電梯大樓/獨立套房,25.03525530000001,121.491344
600,https://rent.591.com.tw/rent-detail-4462227.html,2017-05-13,5樓近敦南商圈公設比率非常低,台北市松山區南京東路五段,5F/12F,"58,000元/月",,54.4,電梯大樓/辦公,25.05175400000001,121.5581665
607,https://rent.591.com.tw/rent-detail-4089230.html,2017-05-13,傢俱全前有庭院,台北市士林區中山北路七段,頂樓加蓋/5F,"16,000元/月",1房1廳1衛1陽臺,10.0,公寓/整層住家,25.1192265,121.53328700000002
608,https://rent.591.com.tw/rent-detail-4469453.html,2017-05-12,﻿﻿大直內湖基河華廈面公園雅房,台北市中山區敬業三路,4F/8F,"5,500元/月",,3.0,電梯大樓/雅房,25.0792596,121.5556416
621,https://rent.591.com.tw/rent-detail-4139659.html,2017-05-13,獨立大陽台雙人優質套房~距捷運5分鐘,台北市士林區福德路,3F/3F,"11,500元/月",,10.0,透天厝/獨立套房,25.0925217,121.52207179999999
628,https://rent.591.com.tw/rent-detail-4272256.html,2017-05-14,文大學生清境大套房,台北市士林區永公路,3F/4F,"6,000元/月",,8.0,公寓/獨立套房,25.136710600000004,121.57065659999999
630,https://rent.591.com.tw/rent-detail-3889878.html,2017-05-14,*捷運後山埤站1號出口對面*三角窗,台北市信義區中坡北路,1F/12F,"250,000元/月",,82.0,電梯大樓/店面,25.043585800000002,121.5801598
643,https://rent.591.com.tw/rent-detail-4058926.html,2017-05-14,善導寺捷運~喜來登飯店~純電梯辦公大樓,台北市中正區青島東路,4F/12F,"43,990元/月",,54.0,電梯大樓/辦公,25.0430993,121.5211593
644,https://rent.591.com.tw/rent-detail-4292084.html,2017-05-13,奇岩站3+1房/新成屋/含管理費,台北市北投區磺港路,9F/14F,"45,000元/月",4房2廳2衛2陽臺,59.86,電梯大樓/整層住家,25.130447,121.5041104
652,https://rent.591.com.tw/rent-detail-4295553.html,2017-05-13,商三透天整棟出租,台北市松山區寶清路,1F/4F,"150,000元/月",開放式格局,107.0,公寓/住辦,25.050573999999997,121.568799
656,https://rent.591.com.tw/rent-detail-4536507.html,2017-05-10,雅房7500!!包水.第四台.網路,台北市中正區新生北路一段,5F/7F,"7,500元/月",,6.0,電梯大樓/雅房,25.0453451,121.53378729999999
658,https://rent.591.com.tw/rent-detail-4294116.html,2017-05-12,政大校園對面住宅區~~乾淨又有質感的套房,台北市文山區秀明路二段,5F/5F,"8,300元/月",,4.5,公寓/分租套房,24.991526,121.575796
669,https://rent.591.com.tw/rent-detail-4194411.html,2017-05-10,忠孝復興站3分鐘一級店辦人潮錢潮把握機會,台北市大安區複興南路一段,3F/17F,"130,000元/月",,79.59,電梯大樓/辦公,25.0433357,121.5440383
670,https://rent.591.com.tw/rent-detail-3982188.html,2017-05-13,東吳大學推薦雅房(大雅房),台北市士林區故宮路,2F/3F,"7,000元/月",,8.0,公寓/雅房,25.097907,121.547467
677,https://rent.591.com.tw/rent-detail-4209472.html,2017-05-11,珠海路三面採光華廈,台北市北投區珠海路,7F/7F,"26,000元/月",3房2廳2衛2陽臺,39.15,電梯大樓/整層住家,25.141878,121.50603400000001
681,https://rent.591.com.tw/rent-detail-4015814.html,2017-05-09,石牌捷運五分鐘含水電第四台天然瓦斯,台北市北投區石牌路一段,3F/5F,"5,500元/月",,4.0,公寓/雅房,25.112822,121.51008
682,https://rent.591.com.tw/rent-detail-4316369.html,2017-05-14,信義松德面寬深方正1樓店面商辦住辦,台北市信義區松德路,1F/14F,"68,000元/月",,60.0,,25.0278839,121.57613870000002
687,https://rent.591.com.tw/rent-detail-4194365.html,2017-05-09,裝潢百萬3房兩廳,台北市萬華區中華路二段,3F/4F,"21,000元/月",3房1廳2衛1陽臺,24.0,公寓/整層住家,25.030412,121.50246899999999
689,https://rent.591.com.tw/rent-detail-4030548.html,2017-05-15,信義永春捷運站3分鐘獨立辦公室工作室,台北市信義區松德路,6F/12F,"9,000元/月",,3.0,電梯大樓/辦公,25.0390405,121.57673359999998
698,https://rent.591.com.tw/rent-detail-4334178.html,2017-05-11,溫馨日式套房938094651,台北市萬華區武昌街二段,9F/10F,"9,500元/月",,8.5,電梯大樓/獨立套房,25.045578,121.50283049999999
